,address,asking_price,baths,beds,city,cooling,days_on_zillow,exterior_lot,exterior_lot_depth,exterior_lot_width,foreclosure_estimate,heating,hoa,lot,mls__,offer_type,parking,price_sqft,saves,sqft,type,year_built,zestimate_value,zestimate_price_sqft
0,940 Castle Hill Ave,,,,"Bronx, NY 10473",No Data,,2613.0,,,"$348,922",No Data,,"2,613 sqft",,AUCTION,No Data,,,2310,Single Family,1910.0,471517.0,204.11991341991342
1,2123 Quimby Ave,,,3.0,"Bronx, NY 10473",Other,,2613.0,,,"$321,432",Other,,"2,613 sqft",,AUCTION,"Off street, Detached Garage",,,1334,Single Family,1915.0,434368.0,325.61319340329834
2,2259 Cincinnatus Ave,449000.0,2.0,3.0,"Bronx, NY 10473",No Data,20 Days,2417.0,,,,No Data,,"2,417 sqft",,FOR SALE,Attached Garage,$260,12,1730,Single Family,1935.0,426172.0,246.3421965317919
3,2252 Story Ave,675000.0,2.0,3.0,"Bronx, NY 10473",No Data,23 Days,2927.0,103.0,28.0,,No Data,,,4737049,FOR SALE,Detached Garage,$281,7,2400,Multi Family,1925.0,561580.0,233.99166666666667
4,2125 Quimby Ave,350000.0,1.0,2.0,"Bronx, NY 10473",No Data,230 Days,2548.0,103.0,24.0,,No Data,,"2,548 sqft",,FOR SALE,Attached Garage,$262,18,1334,Single Family,1915.0,414824.0,310.96251874062966
5,454 Effingham Ave,419000.0,1.0,1.0,"Bronx, NY 10473",No Data,69 Days,2500.0,100.0,25.0,,No Data,,,4729930,FOR SALE,Attached Garage,$256,5,1638,Multi Family,1940.0,457894.0,279.5445665445665
6,501 Olmstead Ave,,4.0,6.0,"Bronx, NY 10473",No Data,161 Days,3000.0,100.0,30.0,"$404,655",No Data,,,4734387,FORECLOSURE,Carport,$192,35,2345,Multi Family,1987.0,546832.0,233.19061833688698
7,2217 Homer Ave,370000.0,2.0,3.0,"Bronx, NY 10473",No Data,84 Days,2252.0,90.0,25.0,,No Data,,"2,252 sqft",,FOR SALE,Attached Garage,$226,35,1638,Single Family,1915.0,401148.0,244.9010989010989
8,918 Havemeyer Ave,750000.0,3.0,8.0,"Bronx, NY 10473",Other,35 Days,2918.0,113.0,25.0,,No Data,,,2960598,FOR SALE,3 spaces,$223,15,3360,Multi Family,1945.0,722696.0,215.08809523809524
9,511 Olmstead Ave,575000.0,,2.0,"Bronx, NY 10473",No Data,64 Days,2000.0,100.0,20.0,,No Data,,,69374,FOR SALE,No Data,$247,No Data,2325,Multi Family,1987.0,578884.0,248.98236559139784
10,2325 Hermany Ave,484000.0,2.0,2.0,"Bronx, NY 10473",No Data,107 Days,3423.0,103.0,33.0,,No Data,,"3,423 sqft",,FOR SALE,No Data,$299,22,1620,Single Family,1910.0,458262.0,282.8777777777778
11,2138 Virgil Pl,427000.0,2.5,3.0,"Bronx, NY 10473",No Data,163 Days,2038.0,90.0,22.0,,No Data,,,4712986,FOR SALE,Attached Garage,$264,27,1620,Multi Family,1960.0,454590.0,280.6111111111111
12,502 White Plains Rd,659000.0,11.0,9.0,"Bronx, NY 10473",No Data,200 Days,3001.0,,,,Baseboard,,,4739400,FOR SALE,1 space,$249,35,2648,Multi Family,1930.0,662885.0,250.3342145015106
13,2239 Story Ave,570000.0,4.0,7.0,"Bronx, NY 10473",No Data,109 Days,2575.0,103.0,25.0,,No Data,,,4722934,FOR SALE,Attached Garage,$204,26,2800,Multi Family,1930.0,575816.0,205.64857142857142
14,2000 Cincinnatus Ave,469000.0,1.5,3.0,"Bronx, NY 11423",No Data,83 Days,,,,,No Data,,No Data,,FOR SALE,Attached Garage,$335,5,1400,Single Family,,431757.0,308.39785714285716
15,430 Olmstead Ave,699000.0,3.0,8.0,"Bronx, NY 10473",No Data,43 Days,2238.0,108.0,20.0,,No Data,,,4734002,FOR SALE,Attached Garage,$262,10,2664,Multi Family,1965.0,620647.0,232.97560060060061
16,2017 Turnbull Ave,499000.0,2.5,5.0,"Bronx, NY 10473",No Data,54 Days,2060.0,103.0,20.0,,No Data,,"2,060 sqft",,FOR SALE,Attached Garage,$248,23,2009,Single Family,1940.0,472882.0,235.3817819810851
17,770 Olmstead Ave,700000.0,3.0,5.0,"Bronx, NY 10473",No Data,36 Days,2960.0,99.0,29.0,,Radiant,,,4734963,FOR SALE,2 spaces,$180,8,3880,Multi Family,1930.0,692071.0,178.3688144329897
18,461 Olmstead Ave,515000.0,2.0,3.0,"Bronx, NY 10473",Central,148 Days,2696.0,,,,Forced air,,"2,696 sqft",,FOR SALE,Attached Garage,$316,16,1630,Single Family,1965.0,437088.0,268.1521472392638
19,446 Olmstead Ave,699000.0,3.0,8.0,"Bronx, NY 10473",No Data,53 Days,2238.0,108.0,20.0,,No Data,,,No Data,FOR SALE,2 spaces,$262,45,2664,Multi Family,1965.0,608989.0,228.59947447447448
20,2250 Turnbull Ave,675000.0,2.0,4.0,"Bronx, NY 10473",No Data,167 Days,5998.0,100.0,60.0,,No Data,,"5,998 sqft",,FOR SALE,Attached Garage,$343,14,1968,Single Family,1930.0,539520.0,274.1463414634146
21,256 Zerega Ave,725000.0,4.0,4.0,"Bronx, NY 10473",Central,210 Days,1794.0,,,,Forced air,,,4703895,FOR SALE,1 space,$235,16,3086,Multi Family,2011.0,653941.0,211.90570317563188
22,264 Zerega Ave,800000.0,4.0,4.0,"Bronx, NY 10473",Central,210 Days,2082.0,,,,Forced air,,,4703901,FOR SALE,1 space,$261,5,3068,Multi Family,2011.0,663663.0,216.3177966101695
23,268 Zerega Ave,850000.0,4.0,4.0,"Bronx, NY 10473",No Data,211 Days,1894.0,,,,No Data,,,4703903,FOR SALE,2 spaces,$277,12,3068,Multi Family,2011.0,653852.0,213.1199478487614
24,262 Zerega Ave,775000.0,4.0,4.0,"Bronx, NY 10473",Central,210 Days,1934.0,,,,Forced air,,,4703900,FOR SALE,2 spaces,$253,7,3068,Multi Family,2011.0,660497.0,215.28585397653194
25,310 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1844.0,93.0,22.0,"$514,302",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,2,3068,Multiple Occupancy,2011.0,695003.0,226.53292046936116
26,2241 Seward Ave,,2.0,4.0,"Bronx, NY 10473",No Data,6848 Days,2500.0,100.0,25.0,"$338,868",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,4,1686,Multiple Occupancy,1915.0,457931.0,271.6079478054567
27,304 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1954.0,93.0,22.0,"$517,451",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,2,3068,Multiple Occupancy,2011.0,699259.0,227.92014341590613
28,288 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1934.0,93.0,22.0,"$519,052",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,701422.0,228.6251629726206
